"Pro","Wm82","Wm82Gene.V2.1"
"Glyma.07G102500.2.p","Glyma.07G102500.2.p","Glyma.07G102500"
"Glyma.07G102600.1.p","Glyma.07G102600.1.p","Glyma.07G102600"
"Glyma.07G102900.2.p","Glyma.07G102900.2.p","Glyma.07G102900"
"Glyma.07G103200.1.p","Glyma.07G103200.1.p","Glyma.07G103200"
"Glyma.07G103400.1.p","Glyma.07G103400.1.p","Glyma.07G103400"
"Glyma.07G103500.1.p","Glyma.07G103500.1.p","Glyma.07G103500"
"Glyma.07G103600.1.p","Glyma.07G103600.1.p","Glyma.07G103600"
"Glyma.07G104500.1.p","Glyma.07G104500.1.p","Glyma.07G104500"
"Glyma.07G105400.1.p","Glyma.07G105400.1.p","Glyma.07G105400"
"Glyma.07G105900.1.p","Glyma.07G105900.1.p","Glyma.07G105900"
"Glyma.07G106200.1.p","Glyma.07G106200.1.p","Glyma.07G106200"
"Glyma.07G106300.3.p","Glyma.07G106300.3.p","Glyma.07G106300"
"Glyma.07G106600.1.p","Glyma.07G106600.1.p","Glyma.07G106600"
"Glyma.07G107200.1.p","Glyma.07G107200.1.p","Glyma.07G107200"
"Glyma.07G107800.1.p","Glyma.07G107800.1.p","Glyma.07G107800"
"Glyma.07G107900.1.p","Glyma.07G107900.1.p","Glyma.07G107900"
"Glyma.07G108100.1.p","Glyma.07G108100.1.p","Glyma.07G108100"
"Glyma.07G108500.1.p","Glyma.07G108500.1.p","Glyma.07G108500"
"Glyma.07G108700.1.p","Glyma.07G108700.1.p","Glyma.07G108700"
"Glyma.07G108800.1.p","Glyma.07G108800.1.p","Glyma.07G108800"
"Glyma.07G109700.1.p","Glyma.07G109700.1.p","Glyma.07G109700"
"Glyma.07G110200.1.p","Glyma.07G110200.1.p","Glyma.07G110200"
"Glyma.07G110300.1.p","Glyma.07G110300.1.p","Glyma.07G110300"
"Glyma.07G110600.1.p","Glyma.07G110600.1.p","Glyma.07G110600"
"Glyma.07G110900.1.p","Glyma.07G110900.1.p","Glyma.07G110900"
"Glyma.07G111300.1.p","Glyma.07G111300.1.p","Glyma.07G111300"
"Glyma.07G112000.2.p","Glyma.07G112000.2.p","Glyma.07G112000"
"Glyma.07G112500.1.p","Glyma.07G112500.1.p","Glyma.07G112500"
"Glyma.07G112600.3.p","Glyma.07G112600.3.p","Glyma.07G112600"
"Glyma.07G113500.2.p","Glyma.07G113500.2.p","Glyma.07G113500"
"Glyma.07G114600.1.p","Glyma.07G114600.1.p","Glyma.07G114600"
"Glyma.07G114900.2.p","Glyma.07G114900.2.p","Glyma.07G114900"
"Glyma.07G115000.1.p","Glyma.07G115000.1.p","Glyma.07G115000"
"Glyma.07G115400.1.p","Glyma.07G115400.1.p","Glyma.07G115400"
"Glyma.07G115500.1.p","Glyma.07G115500.1.p","Glyma.07G115500"
"Glyma.07G115700.1.p","Glyma.07G115700.1.p","Glyma.07G115700"
"Glyma.07G115900.1.p","Glyma.07G115900.1.p","Glyma.07G115900"
"Glyma.07G116000.3.p","Glyma.07G116000.3.p","Glyma.07G116000"
"Glyma.07G117000.1.p","Glyma.07G117000.1.p","Glyma.07G117000"
"Glyma.07G117800.1.p","Glyma.07G117800.1.p","Glyma.07G117800"
"Glyma.07G118300.1.p","Glyma.07G118300.1.p","Glyma.07G118300"
"Glyma.07G118800.1.p","Glyma.07G118800.1.p","Glyma.07G118800"
"Glyma.07G119000.3.p","Glyma.07G119000.3.p","Glyma.07G119000"
"Glyma.07G119200.1.p","Glyma.07G119200.1.p","Glyma.07G119200"
"Glyma.07G119500.1.p","Glyma.07G119500.1.p","Glyma.07G119500"
"Glyma.07G119800.1.p","Glyma.07G119800.1.p","Glyma.07G119800"
"Glyma.07G120500.1.p","Glyma.07G120500.1.p","Glyma.07G120500"
"Glyma.07G120900.1.p","Glyma.07G120900.1.p","Glyma.07G120900"
"Glyma.07G121000.4.p","Glyma.07G121000.4.p","Glyma.07G121000"
"Glyma.07G121900.2.p","Glyma.07G121900.2.p","Glyma.07G121900"
"Glyma.07G124000.1.p","Glyma.07G124000.1.p","Glyma.07G124000"
"Glyma.07G124000.2.p","Glyma.07G124000.2.p","Glyma.07G124000"
"Glyma.07G124500.1.p","Glyma.07G124500.1.p","Glyma.07G124500"
"Glyma.07G125400.1.p","Glyma.07G125400.1.p","Glyma.07G125400"
"Glyma.07G125900.1.p","Glyma.07G125900.1.p","Glyma.07G125900"
"Glyma.07G126200.1.p","Glyma.07G126200.1.p","Glyma.07G126200"
"Glyma.07G126300.1.p","Glyma.07G126300.1.p","Glyma.07G126300"
"Glyma.07G126600.1.p","Glyma.07G126600.1.p","Glyma.07G126600"
"Glyma.07G127000.1.p","Glyma.07G127000.1.p","Glyma.07G127000"
"Glyma.07G127100.1.p","Glyma.07G127100.1.p","Glyma.07G127100"
"Glyma.07G127300.1.p","Glyma.07G127300.1.p","Glyma.07G127300"
"Glyma.07G127500.1.p","Glyma.07G127500.1.p","Glyma.07G127500"
"Glyma.07G127600.1.p","Glyma.07G127600.1.p","Glyma.07G127600"
"Glyma.07G128100.1.p","Glyma.07G128100.1.p","Glyma.07G128100"
"Glyma.07G128200.1.p","Glyma.07G128200.1.p","Glyma.07G128200"
"Glyma.07G128300.1.p","Glyma.07G128300.1.p","Glyma.07G128300"
"Glyma.07G128500.1.p","Glyma.07G128500.1.p","Glyma.07G128500"
"Glyma.07G129200.1.p","Glyma.07G129200.1.p","Glyma.07G129200"
"Glyma.07G129300.1.p","Glyma.07G129300.1.p","Glyma.07G129300"
"Glyma.07G129600.1.p","Glyma.07G129600.1.p","Glyma.07G129600"
"Glyma.07G129700.1.p","Glyma.07G129700.1.p","Glyma.07G129700"
"Glyma.07G130900.1.p","Glyma.07G130900.1.p","Glyma.07G130900"
"Glyma.07G131200.1.p","Glyma.07G131200.1.p","Glyma.07G131200"
"Glyma.07G131900.1.p","Glyma.07G131900.1.p","Glyma.07G131900"
"Glyma.07G132300.1.p","Glyma.07G132300.1.p","Glyma.07G132300"
"Glyma.07G132500.1.p","Glyma.07G132500.1.p","Glyma.07G132500"
"Glyma.07G132600.1.p","Glyma.07G132600.1.p","Glyma.07G132600"
"Glyma.07G132900.1.p","Glyma.07G132900.1.p","Glyma.07G132900"
"Glyma.07G133500.1.p","Glyma.07G133500.1.p","Glyma.07G133500"
"Glyma.07G133900.1.p","Glyma.07G133900.1.p","Glyma.07G133900"
"Glyma.07G134100.1.p","Glyma.07G134100.1.p","Glyma.07G134100"
"Glyma.07G134400.1.p","Glyma.07G134400.1.p","Glyma.07G134400"
"Glyma.07G134500.1.p","Glyma.07G134500.1.p","Glyma.07G134500"
"Glyma.07G135300.1.p","Glyma.07G135300.1.p","Glyma.07G135300"
"Glyma.07G136500.1.p","Glyma.07G136500.1.p","Glyma.07G136500"
"Glyma.07G137100.1.p","Glyma.07G137100.1.p","Glyma.07G137100"
"Glyma.07G138300.1.p","Glyma.07G138300.1.p","Glyma.07G138300"
"Glyma.07G138400.1.p","Glyma.07G138400.1.p","Glyma.07G138400"
"Glyma.07G139400.1.p","Glyma.07G139400.1.p","Glyma.07G139400"
"Glyma.07G139600.1.p","Glyma.07G139600.1.p","Glyma.07G139600"
"Glyma.07G139800.1.p","Glyma.07G139800.1.p","Glyma.07G139800"
"Glyma.07G140200.1.p","Glyma.07G140200.1.p","Glyma.07G140200"
"Glyma.07G140400.2.p","Glyma.07G140400.2.p","Glyma.07G140400"
"Glyma.07G140700.1.p","Glyma.07G140700.1.p","Glyma.07G140700"
"Glyma.07G140800.1.p","Glyma.07G140800.1.p","Glyma.07G140800"
"Glyma.07G141300.1.p","Glyma.07G141300.1.p","Glyma.07G141300"
"Glyma.07G141500.1.p","Glyma.07G141500.1.p","Glyma.07G141500"
"Glyma.07G142600.1.p","Glyma.07G142600.1.p","Glyma.07G142600"
"Glyma.07G143200.1.p","Glyma.07G143200.1.p","Glyma.07G143200"
"Glyma.07G143300.1.p","Glyma.07G143300.1.p","Glyma.07G143300"
"Glyma.07G144300.1.p","Glyma.07G144300.1.p","Glyma.07G144300"
"Glyma.07G144400.1.p","Glyma.07G144400.1.p","Glyma.07G144400"
"Glyma.07G144900.1.p","Glyma.07G144900.1.p","Glyma.07G144900"
"Glyma.07G145800.1.p","Glyma.07G145800.1.p","Glyma.07G145800"
"Glyma.07G146800.1.p","Glyma.07G146800.1.p","Glyma.07G146800"
"Glyma.07G147000.5.p","Glyma.07G147000.5.p","Glyma.07G147000"
"Glyma.07G148100.1.p","Glyma.07G148100.1.p","Glyma.07G148100"
"Glyma.07G148800.1.p","Glyma.07G148800.1.p","Glyma.07G148800"
"Glyma.07G149000.1.p","Glyma.07G149000.1.p","Glyma.07G149000"
"Glyma.07G149300.1.p","Glyma.07G149300.1.p","Glyma.07G149300"
"Glyma.07G149500.1.p","Glyma.07G149500.1.p","Glyma.07G149500"
"Glyma.07G149600.4.p","Glyma.07G149600.4.p","Glyma.07G149600"
"Glyma.07G149900.1.p","Glyma.07G149900.1.p","Glyma.07G149900"
"Glyma.07G150000.1.p","Glyma.07G150000.1.p","Glyma.07G150000"
"Glyma.07G150300.1.p","Glyma.07G150300.1.p","Glyma.07G150300"
"Glyma.07G150700.1.p","Glyma.07G150700.1.p","Glyma.07G150700"
"Glyma.07G150900.1.p","Glyma.07G150900.1.p","Glyma.07G150900"
"Glyma.07G151700.1.p","Glyma.07G151700.1.p","Glyma.07G151700"
"Glyma.07G152000.1.p","Glyma.07G152000.1.p","Glyma.07G152000"
"Glyma.07G152700.1.p","Glyma.07G152700.1.p","Glyma.07G152700"
"Glyma.07G152900.1.p","Glyma.07G152900.1.p","Glyma.07G152900"
"Glyma.07G153100.1.p","Glyma.07G153100.1.p","Glyma.07G153100"
"Glyma.07G153700.1.p","Glyma.07G153700.1.p","Glyma.07G153700"
"Glyma.07G155200.1.p","Glyma.07G155200.1.p","Glyma.07G155200"
"Glyma.07G155400.1.p","Glyma.07G155400.1.p","Glyma.07G155400"
"Glyma.07G155700.1.p","Glyma.07G155700.1.p","Glyma.07G155700"
"Glyma.07G155900.1.p","Glyma.07G155900.1.p","Glyma.07G155900"
"Glyma.07G156000.1.p","Glyma.07G156000.1.p","Glyma.07G156000"
"Glyma.07G156100.1.p","Glyma.07G156100.1.p","Glyma.07G156100"
"Glyma.07G156900.1.p","Glyma.07G156900.1.p","Glyma.07G156900"
"Glyma.07G157900.1.p","Glyma.07G157900.1.p","Glyma.07G157900"
"Glyma.07G159900.2.p","Glyma.07G159900.2.p","Glyma.07G159900"
"Glyma.07G160500.1.p","Glyma.07G160500.1.p","Glyma.07G160500"
"Glyma.07G161900.2.p","Glyma.07G161900.2.p","Glyma.07G161900"
"Glyma.07G163700.2.p","Glyma.07G163700.2.p","Glyma.07G163700"
"Glyma.07G164600.1.p","Glyma.07G164600.1.p","Glyma.07G164600"
"Glyma.07G165000.1.p","Glyma.07G165000.1.p","Glyma.07G165000"
"Glyma.07G165200.1.p","Glyma.07G165200.1.p","Glyma.07G165200"
"Glyma.07G165800.1.p","Glyma.07G165800.1.p","Glyma.07G165800"
"Glyma.07G166300.1.p","Glyma.07G166300.1.p","Glyma.07G166300"
"Glyma.07G166400.1.p","Glyma.07G166400.1.p","Glyma.07G166400"
"Glyma.07G168100.3.p","Glyma.07G168100.3.p","Glyma.07G168100"
"Glyma.07G168900.1.p","Glyma.07G168900.1.p","Glyma.07G168900"
"Glyma.07G170000.2.p","Glyma.07G170000.2.p","Glyma.07G170000"
"Glyma.07G170700.2.p","Glyma.07G170700.2.p","Glyma.07G170700"
"Glyma.07G171700.1.p","Glyma.07G171700.1.p","Glyma.07G171700"
"Glyma.07G172000.1.p","Glyma.07G172000.1.p","Glyma.07G172000"
"Glyma.07G172700.3.p","Glyma.07G172700.3.p","Glyma.07G172700"
"Glyma.07G173000.1.p","Glyma.07G173000.1.p","Glyma.07G173000"
"Glyma.07G173100.1.p","Glyma.07G173100.1.p","Glyma.07G173100"
"Glyma.07G175000.1.p","Glyma.07G175000.1.p","Glyma.07G175000"
"Glyma.07G175300.1.p","Glyma.07G175300.1.p","Glyma.07G175300"
"Glyma.07G175500.4.p","Glyma.07G175500.4.p","Glyma.07G175500"
"Glyma.07G177100.1.p","Glyma.07G177100.1.p","Glyma.07G177100"
"Glyma.07G178400.1.p","Glyma.07G178400.1.p","Glyma.07G178400"
"Glyma.07G178600.1.p","Glyma.07G178600.1.p","Glyma.07G178600"
"Glyma.07G178800.1.p","Glyma.07G178800.1.p","Glyma.07G178800"
"Glyma.07G179400.1.p","Glyma.07G179400.1.p","Glyma.07G179400"
"Glyma.07G179700.1.p","Glyma.07G179700.1.p","Glyma.07G179700"
"Glyma.07G180000.1.p","Glyma.07G180000.1.p","Glyma.07G180000"
"Glyma.07G180100.1.p","Glyma.07G180100.1.p","Glyma.07G180100"
"Glyma.07G181500.1.p","Glyma.07G181500.1.p","Glyma.07G181500"
"Glyma.07G181700.1.p","Glyma.07G181700.1.p","Glyma.07G181700"
"Glyma.07G181800.1.p","Glyma.07G181800.1.p","Glyma.07G181800"
"Glyma.07G181900.1.p","Glyma.07G181900.1.p","Glyma.07G181900"
"Glyma.07G182000.1.p","Glyma.07G182000.1.p","Glyma.07G182000"
"Glyma.07G182100.1.p","Glyma.07G182100.1.p","Glyma.07G182100"
"Glyma.07G182200.1.p","Glyma.07G182200.1.p","Glyma.07G182200"
"Glyma.07G182300.1.p","Glyma.07G182300.1.p","Glyma.07G182300"
"Glyma.07G182600.1.p","Glyma.07G182600.1.p","Glyma.07G182600"
"Glyma.07G184300.1.p","Glyma.07G184300.1.p","Glyma.07G184300"
"Glyma.07G184600.1.p","Glyma.07G184600.1.p","Glyma.07G184600"
"Glyma.07G185400.1.p","Glyma.07G185400.1.p","Glyma.07G185400"
"Glyma.07G185500.1.p","Glyma.07G185500.1.p","Glyma.07G185500"
"Glyma.07G185700.1.p","Glyma.07G185700.1.p","Glyma.07G185700"
"Glyma.07G185800.1.p","Glyma.07G185800.1.p","Glyma.07G185800"
"Glyma.07G185900.1.p","Glyma.07G185900.1.p","Glyma.07G185900"
"Glyma.07G186200.1.p","Glyma.07G186200.1.p","Glyma.07G186200"
"Glyma.07G187300.1.p","Glyma.07G187300.1.p","Glyma.07G187300"
"Glyma.07G187800.1.p","Glyma.07G187800.1.p","Glyma.07G187800"
"Glyma.07G188200.1.p","Glyma.07G188200.1.p","Glyma.07G188200"
"Glyma.07G188800.1.p","Glyma.07G188800.1.p","Glyma.07G188800"
"Glyma.07G189400.1.p","Glyma.07G189400.1.p","Glyma.07G189400"
"Glyma.07G189500.1.p","Glyma.07G189500.1.p","Glyma.07G189500"
"Glyma.07G189900.3.p","Glyma.07G189900.3.p","Glyma.07G189900"
"Glyma.07G190100.1.p","Glyma.07G190100.1.p","Glyma.07G190100"
"Glyma.07G190300.1.p","Glyma.07G190300.1.p","Glyma.07G190300"
"Glyma.07G190600.1.p","Glyma.07G190600.1.p","Glyma.07G190600"
"Glyma.07G191000.1.p","Glyma.07G191000.1.p","Glyma.07G191000"
"Glyma.07G191600.1.p","Glyma.07G191600.1.p","Glyma.07G191600"
"Glyma.07G193500.1.p","Glyma.07G193500.1.p","Glyma.07G193500"
"Glyma.07G193800.2.p","Glyma.07G193800.2.p","Glyma.07G193800"
"Glyma.07G194200.1.p","Glyma.07G194200.1.p","Glyma.07G194200"
"Glyma.07G194500.1.p","Glyma.07G194500.1.p","Glyma.07G194500"
"Glyma.07G195200.1.p","Glyma.07G195200.1.p","Glyma.07G195200"
"Glyma.07G195500.4.p","Glyma.07G195500.4.p","Glyma.07G195500"
"Glyma.07G195600.1.p","Glyma.07G195600.1.p","Glyma.07G195600"
"Glyma.07G195900.1.p","Glyma.07G195900.1.p","Glyma.07G195900"
"Glyma.07G196900.2.p","Glyma.07G196900.2.p","Glyma.07G196900"
"Glyma.07G197000.1.p","Glyma.07G197000.1.p","Glyma.07G197000"
"Glyma.07G197900.1.p","Glyma.07G197900.1.p","Glyma.07G197900"
"Glyma.07G198500.1.p","Glyma.07G198500.1.p","Glyma.07G198500"
"Glyma.07G199200.1.p","Glyma.07G199200.1.p","Glyma.07G199200"
"Glyma.07G199500.1.p","Glyma.07G199500.1.p","Glyma.07G199500"
"Glyma.07G200000.1.p","Glyma.07G200000.1.p","Glyma.07G200000"
"Glyma.07G200400.1.p","Glyma.07G200400.1.p","Glyma.07G200400"
"Glyma.07G200700.1.p","Glyma.07G200700.1.p","Glyma.07G200700"
"Glyma.07G200900.1.p","Glyma.07G200900.1.p","Glyma.07G200900"
"Glyma.07G201100.1.p","Glyma.07G201100.1.p","Glyma.07G201100"
"Glyma.07G201200.1.p","Glyma.07G201200.1.p","Glyma.07G201200"
"Glyma.07G201300.1.p","Glyma.07G201300.1.p","Glyma.07G201300"
"Glyma.07G201600.1.p","Glyma.07G201600.1.p","Glyma.07G201600"
"Glyma.07G202300.1.p","Glyma.07G202300.1.p","Glyma.07G202300"
"Glyma.07G202900.1.p","Glyma.07G202900.1.p","Glyma.07G202900"
"Glyma.07G203300.1.p","Glyma.07G203300.1.p","Glyma.07G203300"
"Glyma.07G203600.1.p","Glyma.07G203600.1.p","Glyma.07G203600"
"Glyma.07G204700.1.p","Glyma.07G204700.1.p","Glyma.07G204700"
"Glyma.07G205200.1.p","Glyma.07G205200.1.p","Glyma.07G205200"
"Glyma.07G205400.1.p","Glyma.07G205400.1.p","Glyma.07G205400"
"Glyma.07G205500.1.p","Glyma.07G205500.1.p","Glyma.07G205500"
"Glyma.07G205900.1.p","Glyma.07G205900.1.p","Glyma.07G205900"
"Glyma.07G206300.1.p","Glyma.07G206300.1.p","Glyma.07G206300"
"Glyma.07G206800.1.p","Glyma.07G206800.1.p","Glyma.07G206800"
"Glyma.07G207200.1.p","Glyma.07G207200.1.p","Glyma.07G207200"
"Glyma.07G207300.1.p","Glyma.07G207300.1.p","Glyma.07G207300"
"Glyma.07G207800.2.p","Glyma.07G207800.2.p","Glyma.07G207800"
"Glyma.07G208100.1.p","Glyma.07G208100.1.p","Glyma.07G208100"
"Glyma.07G208200.1.p","Glyma.07G208200.1.p","Glyma.07G208200"
"Glyma.07G208300.1.p","Glyma.07G208300.1.p","Glyma.07G208300"
"Glyma.07G209300.1.p","Glyma.07G209300.1.p","Glyma.07G209300"
"Glyma.07G210200.2.p","Glyma.07G210200.2.p","Glyma.07G210200"
"Glyma.07G210600.1.p","Glyma.07G210600.1.p","Glyma.07G210600"
"Glyma.07G210800.1.p","Glyma.07G210800.1.p","Glyma.07G210800"
"Glyma.07G211000.1.p","Glyma.07G211000.1.p","Glyma.07G211000"
"Glyma.07G211100.1.p","Glyma.07G211100.1.p","Glyma.07G211100"
"Glyma.07G212300.1.p","Glyma.07G212300.1.p","Glyma.07G212300"
"Glyma.07G212800.2.p","Glyma.07G212800.2.p","Glyma.07G212800"
"Glyma.07G212900.1.p","Glyma.07G212900.1.p","Glyma.07G212900"
"Glyma.07G213500.1.p","Glyma.07G213500.1.p","Glyma.07G213500"
"Glyma.07G213700.2.p","Glyma.07G213700.2.p","Glyma.07G213700"
"Glyma.07G214900.1.p","Glyma.07G214900.1.p","Glyma.07G214900"
"Glyma.07G215300.1.p","Glyma.07G215300.1.p","Glyma.07G215300"
"Glyma.07G215400.2.p","Glyma.07G215400.2.p","Glyma.07G215400"
"Glyma.07G215500.1.p","Glyma.07G215500.1.p","Glyma.07G215500"
"Glyma.07G215600.1.p","Glyma.07G215600.1.p","Glyma.07G215600"
"Glyma.07G215700.1.p","Glyma.07G215700.1.p","Glyma.07G215700"
"Glyma.07G215900.1.p","Glyma.07G215900.1.p","Glyma.07G215900"
"Glyma.07G216200.1.p","Glyma.07G216200.1.p","Glyma.07G216200"
"Glyma.07G216900.1.p","Glyma.07G216900.1.p","Glyma.07G216900"
"Glyma.07G217900.1.p","Glyma.07G217900.1.p","Glyma.07G217900"
"Glyma.07G218200.1.p","Glyma.07G218200.1.p","Glyma.07G218200"
"Glyma.07G218700.1.p","Glyma.07G218700.1.p","Glyma.07G218700"
"Glyma.07G218900.1.p","Glyma.07G218900.1.p","Glyma.07G218900"
"Glyma.07G219000.1.p","Glyma.07G219000.1.p","Glyma.07G219000"
"Glyma.07G219300.1.p","Glyma.07G219300.1.p","Glyma.07G219300"
"Glyma.07G219500.1.p","Glyma.07G219500.1.p","Glyma.07G219500"
"Glyma.07G219900.1.p","Glyma.07G219900.1.p","Glyma.07G219900"
"Glyma.07G220200.1.p","Glyma.07G220200.1.p","Glyma.07G220200"
"Glyma.07G220500.1.p","Glyma.07G220500.1.p","Glyma.07G220500"
"Glyma.07G220600.1.p","Glyma.07G220600.1.p","Glyma.07G220600"
"Glyma.07G220800.1.p","Glyma.07G220800.1.p","Glyma.07G220800"
"Glyma.07G221100.1.p","Glyma.07G221100.1.p","Glyma.07G221100"
"Glyma.07G221300.1.p","Glyma.07G221300.1.p","Glyma.07G221300"
"Glyma.07G221600.1.p","Glyma.07G221600.1.p","Glyma.07G221600"
"Glyma.07G221900.1.p","Glyma.07G221900.1.p","Glyma.07G221900"
"Glyma.07G222500.1.p","Glyma.07G222500.1.p","Glyma.07G222500"
"Glyma.07G222800.1.p","Glyma.07G222800.1.p","Glyma.07G222800"
"Glyma.07G222900.1.p","Glyma.07G222900.1.p","Glyma.07G222900"
"Glyma.07G223000.1.p","Glyma.07G223000.1.p","Glyma.07G223000"
"Glyma.07G223300.1.p","Glyma.07G223300.1.p","Glyma.07G223300"
"Glyma.07G223400.1.p","Glyma.07G223400.1.p","Glyma.07G223400"
"Glyma.07G223700.1.p","Glyma.07G223700.1.p","Glyma.07G223700"
"Glyma.07G224000.2.p","Glyma.07G224000.2.p","Glyma.07G224000"
"Glyma.07G224200.1.p","Glyma.07G224200.1.p","Glyma.07G224200"
"Glyma.07G224400.1.p","Glyma.07G224400.1.p","Glyma.07G224400"
"Glyma.07G224800.2.p","Glyma.07G224800.2.p","Glyma.07G224800"
"Glyma.07G225000.1.p","Glyma.07G225000.1.p","Glyma.07G225000"
"Glyma.07G225100.1.p","Glyma.07G225100.1.p","Glyma.07G225100"
"Glyma.07G225200.1.p","Glyma.07G225200.1.p","Glyma.07G225200"
"Glyma.07G225500.1.p","Glyma.07G225500.1.p","Glyma.07G225500"
"Glyma.07G225800.1.p","Glyma.07G225800.1.p","Glyma.07G225800"
"Glyma.07G226100.1.p","Glyma.07G226100.1.p","Glyma.07G226100"
"Glyma.07G226300.1.p","Glyma.07G226300.1.p","Glyma.07G226300"
"Glyma.07G226600.1.p","Glyma.07G226600.1.p","Glyma.07G226600"
"Glyma.07G227800.1.p","Glyma.07G227800.1.p","Glyma.07G227800"
"Glyma.07G228000.1.p","Glyma.07G228000.1.p","Glyma.07G228000"
"Glyma.07G228100.1.p","Glyma.07G228100.1.p","Glyma.07G228100"
"Glyma.07G228300.1.p","Glyma.07G228300.1.p","Glyma.07G228300"
"Glyma.07G228400.1.p","Glyma.07G228400.1.p","Glyma.07G228400"
"Glyma.07G229000.1.p","Glyma.07G229000.1.p","Glyma.07G229000"
"Glyma.07G231900.3.p","Glyma.07G231900.3.p","Glyma.07G231900"
"Glyma.07G232000.1.p","Glyma.07G232000.1.p","Glyma.07G232000"
"Glyma.07G232800.1.p","Glyma.07G232800.1.p","Glyma.07G232800"
"Glyma.07G232900.1.p","Glyma.07G232900.1.p","Glyma.07G232900"
"Glyma.07G233100.1.p","Glyma.07G233100.1.p","Glyma.07G233100"
"Glyma.07G233600.1.p","Glyma.07G233600.1.p","Glyma.07G233600"
"Glyma.07G233800.1.p","Glyma.07G233800.1.p","Glyma.07G233800"
"Glyma.07G233900.1.p","Glyma.07G233900.1.p","Glyma.07G233900"
"Glyma.07G234300.3.p","Glyma.07G234300.3.p","Glyma.07G234300"
"Glyma.07G235400.1.p","Glyma.07G235400.1.p","Glyma.07G235400"
"Glyma.07G235800.1.p","Glyma.07G235800.1.p","Glyma.07G235800"
"Glyma.07G236200.1.p","Glyma.07G236200.1.p","Glyma.07G236200"
"Glyma.07G236600.1.p","Glyma.07G236600.1.p","Glyma.07G236600"
"Glyma.07G237500.1.p","Glyma.07G237500.1.p","Glyma.07G237500"
"Glyma.07G237700.1.p","Glyma.07G237700.1.p","Glyma.07G237700"
"Glyma.07G237800.1.p","Glyma.07G237800.1.p","Glyma.07G237800"
"Glyma.07G237900.1.p","Glyma.07G237900.1.p","Glyma.07G237900"
"Glyma.07G238400.1.p","Glyma.07G238400.1.p","Glyma.07G238400"
"Glyma.07G239000.1.p","Glyma.07G239000.1.p","Glyma.07G239000"
"Glyma.07G239200.1.p","Glyma.07G239200.1.p","Glyma.07G239200"
"Glyma.07G239600.1.p","Glyma.07G239600.1.p","Glyma.07G239600"
"Glyma.07G239700.1.p","Glyma.07G239700.1.p","Glyma.07G239700"
"Glyma.07G240000.1.p","Glyma.07G240000.1.p","Glyma.07G240000"
"Glyma.07G240200.1.p","Glyma.07G240200.1.p","Glyma.07G240200"
"Glyma.07G240300.1.p","Glyma.07G240300.1.p","Glyma.07G240300"
"Glyma.07G240600.1.p","Glyma.07G240600.1.p","Glyma.07G240600"
"Glyma.07G241200.1.p","Glyma.07G241200.1.p","Glyma.07G241200"
"Glyma.07G241500.1.p","Glyma.07G241500.1.p","Glyma.07G241500"
"Glyma.07G241800.1.p","Glyma.07G241800.1.p","Glyma.07G241800"
"Glyma.07G242000.1.p","Glyma.07G242000.1.p","Glyma.07G242000"
"Glyma.07G242100.1.p","Glyma.07G242100.1.p","Glyma.07G242100"
"Glyma.07G242900.1.p","Glyma.07G242900.1.p","Glyma.07G242900"
"Glyma.07G243200.1.p","Glyma.07G243200.1.p","Glyma.07G243200"
"Glyma.07G243300.1.p","Glyma.07G243300.1.p","Glyma.07G243300"
"Glyma.07G243400.1.p","Glyma.07G243400.1.p","Glyma.07G243400"
"Glyma.07G243500.1.p","Glyma.07G243500.1.p","Glyma.07G243500"
"Glyma.07G243900.1.p","Glyma.07G243900.1.p","Glyma.07G243900"
"Glyma.07G244300.1.p","Glyma.07G244300.1.p","Glyma.07G244300"
"Glyma.07G244600.1.p","Glyma.07G244600.1.p","Glyma.07G244600"
"Glyma.07G244900.2.p","Glyma.07G244900.2.p","Glyma.07G244900"
"Glyma.07G245000.1.p","Glyma.07G245000.1.p","Glyma.07G245000"
"Glyma.07G245800.1.p","Glyma.07G245800.1.p","Glyma.07G245800"
"Glyma.07G246000.1.p","Glyma.07G246000.1.p","Glyma.07G246000"
"Glyma.07G246800.1.p","Glyma.07G246800.1.p","Glyma.07G246800"
"Glyma.07G247200.1.p","Glyma.07G247200.1.p","Glyma.07G247200"
"Glyma.07G247300.1.p","Glyma.07G247300.1.p","Glyma.07G247300"
"Glyma.07G247500.1.p","Glyma.07G247500.1.p","Glyma.07G247500"
"Glyma.07G247900.4.p","Glyma.07G247900.4.p","Glyma.07G247900"
"Glyma.07G248300.1.p","Glyma.07G248300.1.p","Glyma.07G248300"
"Glyma.07G248900.1.p","Glyma.07G248900.1.p","Glyma.07G248900"
"Glyma.07G249100.1.p","Glyma.07G249100.1.p","Glyma.07G249100"
"Glyma.07G249700.1.p","Glyma.07G249700.1.p","Glyma.07G249700"
"Glyma.07G250200.1.p","Glyma.07G250200.1.p","Glyma.07G250200"
"Glyma.07G250800.1.p","Glyma.07G250800.1.p","Glyma.07G250800"
"Glyma.07G251000.1.p","Glyma.07G251000.1.p","Glyma.07G251000"
"Glyma.07G251200.1.p","Glyma.07G251200.1.p","Glyma.07G251200"
"Glyma.07G251300.1.p","Glyma.07G251300.1.p","Glyma.07G251300"
"Glyma.07G252600.1.p","Glyma.07G252600.1.p","Glyma.07G252600"
"Glyma.07G252700.1.p","Glyma.07G252700.1.p","Glyma.07G252700"
