"Pro","Wm82","Wm82Gene.V2.1"
"Glyma.01G029000.1.p","Glyma.01G029000.1.p","Glyma.01G029000"
"Glyma.01G029600.1.p","Glyma.01G029600.1.p","Glyma.01G029600"
"Glyma.01G030500.2.p","Glyma.01G030500.2.p","Glyma.01G030500"
"Glyma.01G030800.1.p","Glyma.01G030800.1.p","Glyma.01G030800"
"Glyma.01G031100.1.p","Glyma.01G031100.1.p","Glyma.01G031100"
"Glyma.01G031400.1.p","Glyma.01G031400.1.p","Glyma.01G031400"
"Glyma.01G031500.1.p","Glyma.01G031500.1.p","Glyma.01G031500"
"Glyma.01G031700.1.p","Glyma.01G031700.1.p","Glyma.01G031700"
"Glyma.01G031900.1.p","Glyma.01G031900.1.p","Glyma.01G031900"
"Glyma.01G032000.1.p","Glyma.01G032000.1.p","Glyma.01G032000"
"Glyma.01G032100.1.p","Glyma.01G032100.1.p","Glyma.01G032100"
"Glyma.01G032300.1.p","Glyma.01G032300.1.p","Glyma.01G032300"
"Glyma.01G032500.1.p","Glyma.01G032500.1.p","Glyma.01G032500"
"Glyma.01G032600.1.p","Glyma.01G032600.1.p","Glyma.01G032600"
"Glyma.01G033300.1.p","Glyma.01G033300.1.p","Glyma.01G033300"
"Glyma.01G034900.1.p","Glyma.01G034900.1.p","Glyma.01G034900"
"Glyma.01G035700.1.p","Glyma.01G035700.1.p","Glyma.01G035700"
"Glyma.01G036000.1.p","Glyma.01G036000.1.p","Glyma.01G036000"
"Glyma.01G036200.1.p","Glyma.01G036200.1.p","Glyma.01G036200"
"Glyma.01G036500.1.p","Glyma.01G036500.1.p","Glyma.01G036500"
"Glyma.01G036700.1.p","Glyma.01G036700.1.p","Glyma.01G036700"
"Glyma.01G036900.1.p","Glyma.01G036900.1.p","Glyma.01G036900"
"Glyma.01G037200.1.p","Glyma.01G037200.1.p","Glyma.01G037200"
"Glyma.01G037300.1.p","Glyma.01G037300.1.p","Glyma.01G037300"
"Glyma.01G037700.1.p","Glyma.01G037700.1.p","Glyma.01G037700"
"Glyma.01G037800.1.p","Glyma.01G037800.1.p","Glyma.01G037800"
"Glyma.01G038100.1.p","Glyma.01G038100.1.p","Glyma.01G038100"
"Glyma.01G038300.1.p","Glyma.01G038300.1.p","Glyma.01G038300"
"Glyma.01G038400.1.p","Glyma.01G038400.1.p","Glyma.01G038400"
"Glyma.01G038500.1.p","Glyma.01G038500.1.p","Glyma.01G038500"
"Glyma.01G038600.1.p","Glyma.01G038600.1.p","Glyma.01G038600"
"Glyma.01G038700.1.p","Glyma.01G038700.1.p","Glyma.01G038700"
"Glyma.01G039100.1.p","Glyma.01G039100.1.p","Glyma.01G039100"
"Glyma.01G039600.1.p","Glyma.01G039600.1.p","Glyma.01G039600"
"Glyma.01G040300.1.p","Glyma.01G040300.1.p","Glyma.01G040300"
"Glyma.01G040500.1.p","Glyma.01G040500.1.p","Glyma.01G040500"
"Glyma.01G041300.1.p","Glyma.01G041300.1.p","Glyma.01G041300"
"Glyma.01G041500.1.p","Glyma.01G041500.1.p","Glyma.01G041500"
"Glyma.01G041900.1.p","Glyma.01G041900.1.p","Glyma.01G041900"
"Glyma.01G042300.1.p","Glyma.01G042300.1.p","Glyma.01G042300"
"Glyma.01G042400.4.p","Glyma.01G042400.4.p","Glyma.01G042400"
"Glyma.01G042800.1.p","Glyma.01G042800.1.p","Glyma.01G042800"
"Glyma.01G043000.1.p","Glyma.01G043000.1.p","Glyma.01G043000"
"Glyma.01G043400.4.p","Glyma.01G043400.4.p","Glyma.01G043400"
"Glyma.01G043800.1.p","Glyma.01G043800.1.p","Glyma.01G043800"
"Glyma.01G044200.1.p","Glyma.01G044200.1.p","Glyma.01G044200"
"Glyma.01G044500.1.p","Glyma.01G044500.1.p","Glyma.01G044500"
"Glyma.01G045300.1.p","Glyma.01G045300.1.p","Glyma.01G045300"
"Glyma.01G045400.1.p","Glyma.01G045400.1.p","Glyma.01G045400"
"Glyma.01G045700.1.p","Glyma.01G045700.1.p","Glyma.01G045700"
"Glyma.01G046200.1.p","Glyma.01G046200.1.p","Glyma.01G046200"
"Glyma.01G046300.1.p","Glyma.01G046300.1.p","Glyma.01G046300"
"Glyma.01G046500.1.p","Glyma.01G046500.1.p","Glyma.01G046500"
"Glyma.01G046900.1.p","Glyma.01G046900.1.p","Glyma.01G046900"
"Glyma.01G047100.1.p","Glyma.01G047100.1.p","Glyma.01G047100"
"Glyma.01G048400.1.p","Glyma.01G048400.1.p","Glyma.01G048400"
"Glyma.01G050100.1.p","Glyma.01G050100.1.p","Glyma.01G050100"
"Glyma.01G050500.1.p","Glyma.01G050500.1.p","Glyma.01G050500"
"Glyma.01G050900.1.p","Glyma.01G050900.1.p","Glyma.01G050900"
"Glyma.01G051400.1.p","Glyma.01G051400.1.p","Glyma.01G051400"
"Glyma.01G052600.1.p","Glyma.01G052600.1.p","Glyma.01G052600"
"Glyma.01G052700.1.p","Glyma.01G052700.1.p","Glyma.01G052700"
"Glyma.01G052800.2.p","Glyma.01G052800.2.p","Glyma.01G052800"
"Glyma.01G053200.1.p","Glyma.01G053200.1.p","Glyma.01G053200"
"Glyma.01G054000.1.p","Glyma.01G054000.1.p","Glyma.01G054000"
"Glyma.01G054200.1.p","Glyma.01G054200.1.p","Glyma.01G054200"
"Glyma.01G054300.1.p","Glyma.01G054300.1.p","Glyma.01G054300"
"Glyma.01G054400.1.p","Glyma.01G054400.1.p","Glyma.01G054400"
"Glyma.01G055300.1.p","Glyma.01G055300.1.p","Glyma.01G055300"
"Glyma.01G055500.1.p","Glyma.01G055500.1.p","Glyma.01G055500"
"Glyma.01G056100.1.p","Glyma.01G056100.1.p","Glyma.01G056100"
"Glyma.01G056300.1.p","Glyma.01G056300.1.p","Glyma.01G056300"
"Glyma.01G057400.1.p","Glyma.01G057400.1.p","Glyma.01G057400"
"Glyma.01G057500.1.p","Glyma.01G057500.1.p","Glyma.01G057500"
"Glyma.01G058000.1.p","Glyma.01G058000.1.p","Glyma.01G058000"
"Glyma.01G058200.1.p","Glyma.01G058200.1.p","Glyma.01G058200"
"Glyma.01G058600.1.p","Glyma.01G058600.1.p","Glyma.01G058600"
"Glyma.01G059200.2.p","Glyma.01G059200.2.p","Glyma.01G059200"
"Glyma.01G060900.1.p","Glyma.01G060900.1.p","Glyma.01G060900"
"Glyma.01G061500.1.p","Glyma.01G061500.1.p","Glyma.01G061500"
"Glyma.01G061800.1.p","Glyma.01G061800.1.p","Glyma.01G061800"
"Glyma.01G062000.1.p","Glyma.01G062000.1.p","Glyma.01G062000"
"Glyma.01G062100.1.p","Glyma.01G062100.1.p","Glyma.01G062100"
"Glyma.01G062300.1.p","Glyma.01G062300.1.p","Glyma.01G062300"
"Glyma.01G062400.1.p","Glyma.01G062400.1.p","Glyma.01G062400"
"Glyma.01G063000.1.p","Glyma.01G063000.1.p","Glyma.01G063000"
"Glyma.01G063600.1.p","Glyma.01G063600.1.p","Glyma.01G063600"
"Glyma.01G065100.1.p","Glyma.01G065100.1.p","Glyma.01G065100"
"Glyma.01G065400.1.p","Glyma.01G065400.1.p","Glyma.01G065400"
"Glyma.01G066600.1.p","Glyma.01G066600.1.p","Glyma.01G066600"
"Glyma.01G067000.1.p","Glyma.01G067000.1.p","Glyma.01G067000"
"Glyma.01G067100.2.p","Glyma.01G067100.2.p","Glyma.01G067100"
"Glyma.01G067900.1.p","Glyma.01G067900.1.p","Glyma.01G067900"
"Glyma.01G068000.1.p","Glyma.01G068000.1.p","Glyma.01G068000"
"Glyma.01G068800.1.p","Glyma.01G068800.1.p","Glyma.01G068800"
"Glyma.01G069500.2.p","Glyma.01G069500.2.p","Glyma.01G069500"
"Glyma.01G070400.1.p","Glyma.01G070400.1.p","Glyma.01G070400"
"Glyma.01G071300.1.p","Glyma.01G071300.1.p","Glyma.01G071300"
"Glyma.01G073900.1.p","Glyma.01G073900.1.p","Glyma.01G073900"
"Glyma.01G074000.2.p","Glyma.01G074000.2.p","Glyma.01G074000"
"Glyma.01G074500.1.p","Glyma.01G074500.1.p","Glyma.01G074500"
"Glyma.01G074600.1.p","Glyma.01G074600.1.p","Glyma.01G074600"
"Glyma.01G074700.1.p","Glyma.01G074700.1.p","Glyma.01G074700"
"Glyma.01G074900.1.p","Glyma.01G074900.1.p","Glyma.01G074900"
"Glyma.01G076100.1.p","Glyma.01G076100.1.p","Glyma.01G076100"
"Glyma.01G077300.1.p","Glyma.01G077300.1.p","Glyma.01G077300"
"Glyma.01G077400.1.p","Glyma.01G077400.1.p","Glyma.01G077400"
"Glyma.01G077600.1.p","Glyma.01G077600.1.p","Glyma.01G077600"
"Glyma.01G078200.1.p","Glyma.01G078200.1.p","Glyma.01G078200"
"Glyma.01G078800.1.p","Glyma.01G078800.1.p","Glyma.01G078800"
"Glyma.01G079100.1.p","Glyma.01G079100.1.p","Glyma.01G079100"
"Glyma.01G080200.1.p","Glyma.01G080200.1.p","Glyma.01G080200"
"Glyma.01G080400.1.p","Glyma.01G080400.1.p","Glyma.01G080400"
"Glyma.01G080600.1.p","Glyma.01G080600.1.p","Glyma.01G080600"
"Glyma.01G080700.1.p","Glyma.01G080700.1.p","Glyma.01G080700"
"Glyma.01G081300.1.p","Glyma.01G081300.1.p","Glyma.01G081300"
"Glyma.01G081500.1.p","Glyma.01G081500.1.p","Glyma.01G081500"
"Glyma.01G081600.1.p","Glyma.01G081600.1.p","Glyma.01G081600"
"Glyma.01G081900.1.p","Glyma.01G081900.1.p","Glyma.01G081900"
"Glyma.01G083000.1.p","Glyma.01G083000.1.p","Glyma.01G083000"
"Glyma.01G084700.1.p","Glyma.01G084700.1.p","Glyma.01G084700"
"Glyma.01G084800.1.p","Glyma.01G084800.1.p","Glyma.01G084800"
"Glyma.01G086000.1.p","Glyma.01G086000.1.p","Glyma.01G086000"
"Glyma.01G087000.1.p","Glyma.01G087000.1.p","Glyma.01G087000"
"Glyma.01G087700.1.p","Glyma.01G087700.1.p","Glyma.01G087700"
"Glyma.01G087800.1.p","Glyma.01G087800.1.p","Glyma.01G087800"
"Glyma.01G087900.3.p","Glyma.01G087900.3.p","Glyma.01G087900"
"Glyma.01G089300.1.p","Glyma.01G089300.1.p","Glyma.01G089300"
"Glyma.01G089500.1.p","Glyma.01G089500.1.p","Glyma.01G089500"
"Glyma.01G090900.1.p","Glyma.01G090900.1.p","Glyma.01G090900"
"Glyma.01G091000.1.p","Glyma.01G091000.1.p","Glyma.01G091000"
"Glyma.01G091900.1.p","Glyma.01G091900.1.p","Glyma.01G091900"
"Glyma.01G092400.2.p","Glyma.01G092400.2.p","Glyma.01G092400"
"Glyma.01G093200.1.p","Glyma.01G093200.1.p","Glyma.01G093200"
"Glyma.01G093900.1.p","Glyma.01G093900.1.p","Glyma.01G093900"
"Glyma.01G094900.1.p","Glyma.01G094900.1.p","Glyma.01G094900"
"Glyma.01G095000.1.p","Glyma.01G095000.1.p","Glyma.01G095000"
"Glyma.01G096200.1.p","Glyma.01G096200.1.p","Glyma.01G096200"
"Glyma.01G096300.3.p","Glyma.01G096300.3.p","Glyma.01G096300"
"Glyma.01G096600.1.p","Glyma.01G096600.1.p","Glyma.01G096600"
"Glyma.01G097000.1.p","Glyma.01G097000.1.p","Glyma.01G097000"
"Glyma.01G097700.1.p","Glyma.01G097700.1.p","Glyma.01G097700"
"Glyma.01G099700.1.p","Glyma.01G099700.1.p","Glyma.01G099700"
"Glyma.01G099800.1.p","Glyma.01G099800.1.p","Glyma.01G099800"
"Glyma.01G100200.1.p","Glyma.01G100200.1.p","Glyma.01G100200"
"Glyma.01G100900.1.p","Glyma.01G100900.1.p","Glyma.01G100900"
"Glyma.01G101000.1.p","Glyma.01G101000.1.p","Glyma.01G101000"
"Glyma.01G102600.1.p","Glyma.01G102600.1.p","Glyma.01G102600"
"Glyma.01G102900.1.p","Glyma.01G102900.1.p","Glyma.01G102900"
"Glyma.01G103200.1.p","Glyma.01G103200.1.p","Glyma.01G103200"
"Glyma.01G105500.3.p","Glyma.01G105500.3.p","Glyma.01G105500"
"Glyma.01G106000.1.p","Glyma.01G106000.1.p","Glyma.01G106000"
"Glyma.01G106100.1.p","Glyma.01G106100.1.p","Glyma.01G106100"
"Glyma.01G106200.1.p","Glyma.01G106200.1.p","Glyma.01G106200"
"Glyma.01G106600.1.p","Glyma.01G106600.1.p","Glyma.01G106600"
"Glyma.01G106800.1.p","Glyma.01G106800.1.p","Glyma.01G106800"
"Glyma.01G107100.1.p","Glyma.01G107100.1.p","Glyma.01G107100"
